lab_id,video_id,mouse1_strain,mouse1_color,mouse1_sex,mouse1_id,mouse1_age,mouse1_condition,mouse2_strain,mouse2_color,mouse2_sex,mouse2_id,mouse2_age,mouse2_condition,mouse3_strain,mouse3_color,mouse3_sex,mouse3_id,mouse3_age,mouse3_condition,mouse4_strain,mouse4_color,mouse4_sex,mouse4_id,mouse4_age,mouse4_condition,frames_per_second,video_duration_sec,pix_per_cm_approx,video_width_pix,video_height_pix,arena_width_cm,arena_height_cm,arena_shape,arena_type,body_parts_tracked,behaviors_labeled,tracking_method,actions_list,video_score
NiftyGoldfinch,2103620137,C57Bl/6J,black,male,6.0,,cabled device,C57Bl/6J,black,male,33.0,,cabled device,,,,,,,,,,,,,30.0,1179.2,13.5,600,350,33.0,19.0,rectangular,neutral,"[""body_center"", ""ear_left"", ""ear_right"", ""nose"", ""tail_base""]","[""mouse1,mouse2,approach"", ""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,defend"", ""mouse1,mouse2,escape"", ""mouse1,mouse2,flinch"", ""mouse1,mouse2,follow"", ""mouse1,mouse2,sniff"", ""mouse1,mouse2,sniffface"", ""mouse1,mouse2,sniffgenital"", ""mouse1,mouse2,tussle"", ""mouse1,self,biteobject"", ""mouse1,self,climb"", ""mouse1,self,dig"", ""mouse1,self,exploreobject"", ""mouse1,self,rear"", ""mouse1,self,selfgroom"", ""mouse2,mouse1,approach"", ""mouse2,mouse1,attack"", ""mouse2,mouse1,chase"", ""mouse2,mouse1,defend"", ""mouse2,mouse1,escape"", ""mouse2,mouse1,flinch"", ""mouse2,mouse1,follow"", ""mouse2,mouse1,sniff"", ""mouse2,mouse1,sniffface"", ""mouse2,mouse1,sniffgenital"", ""mouse2,mouse1,tussle"", ""mouse2,self,biteobject"", ""mouse2,self,climb"", ""mouse2,self,dig"", ""mouse2,self,exploreobject"", ""mouse2,self,rear"", ""mouse2,self,selfgroom""]",SLEAP,"['flinch', 'escape', 'selfgroom', 'sniffgenital', 'chase', 'approach', 'dig', 'climb', 'exploreobject', 'tussle', 'rear', 'biteobject', 'sniff', 'sniffface', 'follow', 'attack', 'defend']",0.5292903076300258
NiftyGoldfinch,1654932902,C57Bl/6J,black,male,23.0,,cabled device,C57Bl/6J,black,male,50.0,,cabled device,,,,,,,,,,,,,30.0,1181.2,13.5,600,350,33.0,19.0,rectangular,neutral,"[""body_center"", ""ear_left"", ""ear_right"", ""nose"", ""tail_base""]","[""mouse1,mouse2,approach"", ""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,defend"", ""mouse1,mouse2,escape"", ""mouse1,mouse2,flinch"", ""mouse1,mouse2,follow"", ""mouse1,mouse2,sniff"", ""mouse1,mouse2,sniffface"", ""mouse1,mouse2,sniffgenital"", ""mouse1,mouse2,tussle"", ""mouse1,self,biteobject"", ""mouse1,self,climb"", ""mouse1,self,dig"", ""mouse1,self,exploreobject"", ""mouse1,self,rear"", ""mouse1,self,selfgroom"", ""mouse2,mouse1,approach"", ""mouse2,mouse1,attack"", ""mouse2,mouse1,chase"", ""mouse2,mouse1,defend"", ""mouse2,mouse1,escape"", ""mouse2,mouse1,flinch"", ""mouse2,mouse1,follow"", ""mouse2,mouse1,sniff"", ""mouse2,mouse1,sniffface"", ""mouse2,mouse1,sniffgenital"", ""mouse2,mouse1,tussle"", ""mouse2,self,biteobject"", ""mouse2,self,climb"", ""mouse2,self,dig"", ""mouse2,self,exploreobject"", ""mouse2,self,rear"", ""mouse2,self,selfgroom""]",SLEAP,"['flinch', 'escape', 'selfgroom', 'sniffgenital', 'chase', 'approach', 'dig', 'climb', 'exploreobject', 'tussle', 'rear', 'biteobject', 'sniff', 'sniffface', 'follow', 'attack', 'defend']",0.5292903076300258
NiftyGoldfinch,1539947238,C57Bl/6J,black,male,26.0,,cabled device,C57Bl/6J,black,male,53.0,,cabled device,,,,,,,,,,,,,30.0,1181.2,13.5,600,350,33.0,19.0,rectangular,neutral,"[""body_center"", ""ear_left"", ""ear_right"", ""nose"", ""tail_base""]","[""mouse1,mouse2,approach"", ""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,defend"", ""mouse1,mouse2,escape"", ""mouse1,mouse2,flinch"", ""mouse1,mouse2,follow"", ""mouse1,mouse2,sniff"", ""mouse1,mouse2,sniffface"", ""mouse1,mouse2,sniffgenital"", ""mouse1,mouse2,tussle"", ""mouse1,self,biteobject"", ""mouse1,self,climb"", ""mouse1,self,dig"", ""mouse1,self,exploreobject"", ""mouse1,self,rear"", ""mouse1,self,selfgroom"", ""mouse2,mouse1,approach"", ""mouse2,mouse1,attack"", ""mouse2,mouse1,chase"", ""mouse2,mouse1,defend"", ""mouse2,mouse1,escape"", ""mouse2,mouse1,flinch"", ""mouse2,mouse1,follow"", ""mouse2,mouse1,sniff"", ""mouse2,mouse1,sniffface"", ""mouse2,mouse1,sniffgenital"", ""mouse2,mouse1,tussle"", ""mouse2,self,biteobject"", ""mouse2,self,climb"", ""mouse2,self,dig"", ""mouse2,self,exploreobject"", ""mouse2,self,rear"", ""mouse2,self,selfgroom""]",SLEAP,"['flinch', 'escape', 'selfgroom', 'sniffgenital', 'chase', 'approach', 'dig', 'climb', 'exploreobject', 'tussle', 'rear', 'biteobject', 'sniff', 'sniffface', 'follow', 'attack', 'defend']",0.5292903076300258
NiftyGoldfinch,1269061587,C57Bl/6J,black,male,8.0,,cabled device,C57Bl/6J,black,male,35.0,,cabled device,,,,,,,,,,,,,30.0,916.7,13.5,600,350,33.0,19.0,rectangular,neutral,"[""body_center"", ""ear_left"", ""ear_right"", ""nose"", ""tail_base""]","[""mouse1,mouse2,approach"", ""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,defend"", ""mouse1,mouse2,escape"", ""mouse1,mouse2,flinch"", ""mouse1,mouse2,follow"", ""mouse1,mouse2,sniff"", ""mouse1,mouse2,sniffface"", ""mouse1,mouse2,sniffgenital"", ""mouse1,mouse2,tussle"", ""mouse1,self,biteobject"", ""mouse1,self,climb"", ""mouse1,self,dig"", ""mouse1,self,exploreobject"", ""mouse1,self,rear"", ""mouse1,self,selfgroom"", ""mouse2,mouse1,approach"", ""mouse2,mouse1,attack"", ""mouse2,mouse1,chase"", ""mouse2,mouse1,defend"", ""mouse2,mouse1,escape"", ""mouse2,mouse1,flinch"", ""mouse2,mouse1,follow"", ""mouse2,mouse1,sniff"", ""mouse2,mouse1,sniffface"", ""mouse2,mouse1,sniffgenital"", ""mouse2,mouse1,tussle"", ""mouse2,self,biteobject"", ""mouse2,self,climb"", ""mouse2,self,dig"", ""mouse2,self,exploreobject"", ""mouse2,self,rear"", ""mouse2,self,selfgroom""]",SLEAP,"['flinch', 'escape', 'selfgroom', 'sniffgenital', 'chase', 'approach', 'dig', 'climb', 'exploreobject', 'tussle', 'rear', 'biteobject', 'sniff', 'sniffface', 'follow', 'attack', 'defend']",0.5292903076300258
NiftyGoldfinch,1233426234,C57Bl/6J,black,male,11.0,,cabled device,C57Bl/6J,black,male,38.0,,cabled device,,,,,,,,,,,,,30.0,1179.9,13.5,600,350,33.0,19.0,rectangular,neutral,"[""body_center"", ""ear_left"", ""ear_right"", ""nose"", ""tail_base""]","[""mouse1,mouse2,approach"", ""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,defend"", ""mouse1,mouse2,escape"", ""mouse1,mouse2,flinch"", ""mouse1,mouse2,follow"", ""mouse1,mouse2,sniff"", ""mouse1,mouse2,sniffface"", ""mouse1,mouse2,sniffgenital"", ""mouse1,mouse2,tussle"", ""mouse1,self,biteobject"", ""mouse1,self,climb"", ""mouse1,self,dig"", ""mouse1,self,exploreobject"", ""mouse1,self,rear"", ""mouse1,self,selfgroom"", ""mouse2,mouse1,approach"", ""mouse2,mouse1,attack"", ""mouse2,mouse1,chase"", ""mouse2,mouse1,defend"", ""mouse2,mouse1,escape"", ""mouse2,mouse1,flinch"", ""mouse2,mouse1,follow"", ""mouse2,mouse1,sniff"", ""mouse2,mouse1,sniffface"", ""mouse2,mouse1,sniffgenital"", ""mouse2,mouse1,tussle"", ""mouse2,self,biteobject"", ""mouse2,self,climb"", ""mouse2,self,dig"", ""mouse2,self,exploreobject"", ""mouse2,self,rear"", ""mouse2,self,selfgroom""]",SLEAP,"['flinch', 'escape', 'selfgroom', 'sniffgenital', 'chase', 'approach', 'dig', 'climb', 'exploreobject', 'tussle', 'rear', 'biteobject', 'sniff', 'sniffface', 'follow', 'attack', 'defend']",0.5292903076300258
DeliriousFly,342269939,C57Bl/6J,black,male,5.0,,cabled device,BALB/c,white,male,,,,,,,,,,,,,,,,60.01,900.1,16.0,864,412,38.0,18.5,rectangular,resident-intruder,"[""body_center"", ""ear_left"", ""ear_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""'mouse1','mouse2','sniff'"", ""mouse1','mouse2','attack'"", ""mouse1','mouse2','dominance'"", ""mouse1,mouse2,attack"", ""mouse1,mouse2,dominance"", ""mouse1,mouse2,sniff""]",DeepLabCut,"['dominance', ""'attack'"", ""'dominance'"", ""'sniff'"", 'sniff', 'attack']",0.4141395407164025
DeliriousFly,1378394926,C57Bl/6J,black,male,5.0,,cabled device,BALB/c,white,male,,,,,,,,,,,,,,,,60.01,900.1,16.0,864,412,38.0,18.5,rectangular,resident-intruder,"[""body_center"", ""ear_left"", ""ear_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""'mouse1','mouse2','sniff'"", ""mouse1','mouse2','attack'"", ""mouse1','mouse2','dominance'"", ""mouse1,mouse2,attack"", ""mouse1,mouse2,dominance"", ""mouse1,mouse2,sniff""]",DeepLabCut,"['dominance', ""'attack'"", ""'dominance'"", ""'sniff'"", 'sniff', 'attack']",0.4141395407164025
DeliriousFly,1549344783,C57Bl/6J,black,male,5.0,,cabled device,BALB/c,white,male,,,,,,,,,,,,,,,,60.01,899.8,16.0,864,412,38.0,18.5,rectangular,resident-intruder,"[""body_center"", ""ear_left"", ""ear_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""'mouse1','mouse2','sniff'"", ""mouse1','mouse2','attack'"", ""mouse1','mouse2','dominance'"", ""mouse1,mouse2,attack"", ""mouse1,mouse2,dominance"", ""mouse1,mouse2,sniff""]",DeepLabCut,"['dominance', ""'attack'"", ""'dominance'"", ""'sniff'"", 'sniff', 'attack']",0.4141395407164025
DeliriousFly,1649549863,C57Bl/6J,black,male,5.0,,cabled device,BALB/c,white,male,,,,,,,,,,,,,,,,60.0,899.8,16.0,864,412,38.0,18.5,rectangular,resident-intruder,"[""body_center"", ""ear_left"", ""ear_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""'mouse1','mouse2','sniff'"", ""mouse1','mouse2','attack'"", ""mouse1','mouse2','dominance'"", ""mouse1,mouse2,attack"", ""mouse1,mouse2,dominance"", ""mouse1,mouse2,sniff""]",DeepLabCut,"['dominance', ""'attack'"", ""'dominance'"", ""'sniff'"", 'sniff', 'attack']",0.4141395407164025
DeliriousFly,1894091332,C57Bl/6J,black,male,5.0,,cabled device,BALB/c,white,male,,,,,,,,,,,,,,,,60.01,900.1,16.0,864,412,38.0,18.5,rectangular,resident-intruder,"[""body_center"", ""ear_left"", ""ear_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""'mouse1','mouse2','sniff'"", ""mouse1','mouse2','attack'"", ""mouse1','mouse2','dominance'"", ""mouse1,mouse2,attack"", ""mouse1,mouse2,dominance"", ""mouse1,mouse2,sniff""]",DeepLabCut,"['dominance', ""'attack'"", ""'dominance'"", ""'sniff'"", 'sniff', 'attack']",0.4141395407164025
