lab_id,video_id,mouse1_strain,mouse1_color,mouse1_sex,mouse1_id,mouse1_age,mouse1_condition,mouse2_strain,mouse2_color,mouse2_sex,mouse2_id,mouse2_age,mouse2_condition,mouse3_strain,mouse3_color,mouse3_sex,mouse3_id,mouse3_age,mouse3_condition,mouse4_strain,mouse4_color,mouse4_sex,mouse4_id,mouse4_age,mouse4_condition,frames_per_second,video_duration_sec,pix_per_cm_approx,video_width_pix,video_height_pix,arena_width_cm,arena_height_cm,arena_shape,arena_type,body_parts_tracked,behaviors_labeled,tracking_method
PleasantMeerkat,599439,C57Bl/6J,black,male,6.0,,,C57Bl/6J,black,male,16.0,,,,,,,,,,,,,,,45.0,600.0,15.8,2048,2020,120.0,120.0,split rectangluar,divided territories,"[""body_center"", ""ear_left"", ""ear_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,escape"", ""mouse1,mouse2,follow"", ""mouse2,mouse1,attack"", ""mouse2,mouse1,chase"", ""mouse2,mouse1,escape"", ""mouse2,mouse1,follow""]",DeepLabCut
PleasantMeerkat,62373697,C57Bl/6J,black,male,5.0,,,C57Bl/6J,black,male,15.0,,,,,,,,,,,,,,,45.0,600.0,15.8,2048,2010,120.0,120.0,split rectangluar,divided territories,"[""body_center"", ""ear_left"", ""ear_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,escape"", ""mouse1,mouse2,follow"", ""mouse2,mouse1,attack"", ""mouse2,mouse1,chase"", ""mouse2,mouse1,escape"", ""mouse2,mouse1,follow""]",DeepLabCut
PleasantMeerkat,74645358,C57Bl/6J,black,male,5.0,,,C57Bl/6J,black,male,15.0,,,,,,,,,,,,,,,45.0,600.0,15.8,2048,2010,120.0,120.0,split rectangluar,divided territories,"[""body_center"", ""ear_left"", ""ear_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,escape"", ""mouse1,mouse2,follow"", ""mouse2,mouse1,attack"", ""mouse2,mouse1,chase"", ""mouse2,mouse1,escape"", ""mouse2,mouse1,follow""]",DeepLabCut
PleasantMeerkat,201760488,CD1,white,male,6.0,,,CD1,white,male,16.0,,,,,,,,,,,,,,,45.0,600.0,15.8,2020,2020,120.0,120.0,split rectangluar,divided territories,"[""body_center"", ""ear_left"", ""ear_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,escape"", ""mouse1,mouse2,follow"", ""mouse2,mouse1,attack"", ""mouse2,mouse1,chase"", ""mouse2,mouse1,escape"", ""mouse2,mouse1,follow""]",DeepLabCut
PleasantMeerkat,263433603,C57Bl/6J,black,male,3.0,,,C57Bl/6J,black,male,13.0,,,,,,,,,,,,,,,45.0,600.0,15.8,2010,2026,120.0,120.0,split rectangluar,divided territories,"[""body_center"", ""ear_left"", ""ear_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,escape"", ""mouse1,mouse2,follow"", ""mouse2,mouse1,attack"", ""mouse2,mouse1,chase"", ""mouse2,mouse1,escape"", ""mouse2,mouse1,follow""]",DeepLabCut
PleasantMeerkat,331245147,CD1,white,male,6.0,,,CD1,white,male,16.0,,,,,,,,,,,,,,,45.0,600.0,15.8,2020,2020,120.0,120.0,split rectangluar,divided territories,"[""body_center"", ""ear_left"", ""ear_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,escape"", ""mouse2,mouse1,attack"", ""mouse2,mouse1,chase"", ""mouse2,mouse1,escape""]",DeepLabCut
PleasantMeerkat,365886350,CD1,white,male,7.0,,,CD1,white,male,17.0,,,,,,,,,,,,,,,45.0,600.0,15.8,2010,2040,120.0,120.0,split rectangluar,divided territories,"[""body_center"", ""ear_left"", ""ear_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,escape"", ""mouse1,mouse2,follow"", ""mouse2,mouse1,attack"", ""mouse2,mouse1,chase"", ""mouse2,mouse1,escape"", ""mouse2,mouse1,follow""]",DeepLabCut
PleasantMeerkat,372539857,CD1,white,male,7.0,,,CD1,white,male,17.0,,,,,,,,,,,,,,,45.0,600.0,15.8,2010,2040,120.0,120.0,split rectangluar,divided territories,"[""body_center"", ""ear_left"", ""ear_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,escape"", ""mouse2,mouse1,attack"", ""mouse2,mouse1,chase"", ""mouse2,mouse1,escape""]",DeepLabCut
PleasantMeerkat,408761044,C57Bl/6J,black,male,5.0,,,C57Bl/6J,black,male,15.0,,,,,,,,,,,,,,,45.0,600.0,15.8,2048,2014,120.0,120.0,split rectangluar,divided territories,"[""body_center"", ""ear_left"", ""ear_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,escape"", ""mouse1,mouse2,follow"", ""mouse2,mouse1,attack"", ""mouse2,mouse1,chase"", ""mouse2,mouse1,escape"", ""mouse2,mouse1,follow""]",DeepLabCut
PleasantMeerkat,498458760,C57Bl/6J,black,male,7.0,,,C57Bl/6J,black,male,17.0,,,,,,,,,,,,,,,45.0,600.0,15.8,2010,2024,120.0,120.0,split rectangluar,divided territories,"[""body_center"", ""ear_left"", ""ear_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,escape"", ""mouse2,mouse1,attack"", ""mouse2,mouse1,chase"", ""mouse2,mouse1,escape""]",DeepLabCut
PleasantMeerkat,754974789,CD1,white,male,8.0,,,CD1,white,male,18.0,,,,,,,,,,,,,,,45.0,600.0,15.8,2020,1994,120.0,120.0,split rectangluar,divided territories,"[""body_center"", ""ear_left"", ""ear_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,escape"", ""mouse2,mouse1,attack"", ""mouse2,mouse1,chase"", ""mouse2,mouse1,escape""]",DeepLabCut
PleasantMeerkat,908567232,C57Bl/6J,black,male,7.0,,,C57Bl/6J,black,male,17.0,,,,,,,,,,,,,,,45.0,600.0,15.8,2010,2024,120.0,120.0,split rectangluar,divided territories,"[""body_center"", ""ear_left"", ""ear_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,escape"", ""mouse2,mouse1,attack"", ""mouse2,mouse1,chase"", ""mouse2,mouse1,escape""]",DeepLabCut
PleasantMeerkat,932755484,CD1,white,male,7.0,,,CD1,white,male,17.0,,,,,,,,,,,,,,,45.0,600.0,15.8,2010,2040,120.0,120.0,split rectangluar,divided territories,"[""body_center"", ""ear_left"", ""ear_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,escape"", ""mouse2,mouse1,attack"", ""mouse2,mouse1,chase"", ""mouse2,mouse1,escape""]",DeepLabCut
PleasantMeerkat,974867366,C57Bl/6J,black,male,2.0,,,C57Bl/6J,black,male,12.0,,,,,,,,,,,,,,,45.0,600.0,15.8,2048,2036,120.0,120.0,split rectangluar,divided territories,"[""body_center"", ""ear_left"", ""ear_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,escape"", ""mouse2,mouse1,attack"", ""mouse2,mouse1,chase"", ""mouse2,mouse1,escape""]",DeepLabCut
PleasantMeerkat,1133952127,C57Bl/6J,black,male,7.0,,,C57Bl/6J,black,male,17.0,,,,,,,,,,,,,,,45.0,600.0,15.8,2010,2024,120.0,120.0,split rectangluar,divided territories,"[""body_center"", ""ear_left"", ""ear_right"", ""lateral_left"", ""lateral_right"", ""nose"", ""tail_base"", ""tail_tip""]","[""mouse1,mouse2,attack"", ""mouse1,mouse2,chase"", ""mouse1,mouse2,escape"", ""mouse1,mouse2,follow"", ""mouse2,mouse1,attack"", ""mouse2,mouse1,chase"", ""mouse2,mouse1,escape"", ""mouse2,mouse1,follow""]",DeepLabCut
